湖南小炒香干	Stir-Fried Hunan Smoked Tofu
川香辣子鸡	Sichuan-Style Spicy Chicken
土匪猪肝	Hunan-Style Pork Liver
家烧糯香茄子	Home-Style Braised Eggplant
猪耳尖炒辣椒	Stir-Fried Pig Ear Tips with Chili Lotus Root Strips
青椒豆豉炒油渣	Stir-Fried Green Peppers and Beans with Oil Residue
酸辣鸡杂	Sour and Spicy Chicken Gizzards
生态土钵鸡	Claypot Kampung Chicken
椒盐茄子皮蛋	Salt and Pepper Eggplant with Century Egg
手撕包菜	Stir-Fried Hand-Torn Cabbage
大碗花菜	Big Bowl of Cauliflower
外婆菜炒豌豆米	Stir-Fried Grandma Pickles and Green Peas
新鲜土鸡蛋炒豆腐	Stir-Fried Tofu with Fresh Kampung Eggs
猪油渣焖白菜	Stir-Fried Napa Cabbage with Cracklings
清炒油麦菜	Stir-Fried Lettuce
肉沫蒸蛋	Minced Meat Steamed Egg
香酥鲈鱼	Crispy Sea Bass
番茄炒土鸡蛋	Stir-Fried Tomatoes and Kampung Eggs
橄榄菜肉末四季豆	Common Beans with Minced Meat and Olive Vegetable
梅菜扣肉	Braised Pork Belly with Preserved Vegetables
小炒安吉脆笋	Stir-Fried Anji Bamboo Shoots
菜籽油焖豆腐	Vegetable Oil-Braised Tofu
麻婆豆腐	Mapo Tofu
砂锅土豆丝	Sour and Spicy Potato Threads
绝味土豆片	Savory Potato Slices
番茄蛋汤	Tomato and Egg Soup
白萝卜龙骨汤	White Turnip and Dragon(Pork) Bone Soup
洪湖龙骨藕汤	Dragon Bone and Lotus Root Soup
奥尔良烤翅	New Orleans-Style Grilled Wings
核桃包	Walnut Bun
白菜猪肉水饺	Pork and Cabbage Dumplings
五常稻花香米饭	Wuchang Rice
杭椒炒荷包蛋	Stir-Fried Eggs with Hangzhou Pepper
肉末粉丝包菜	Minced Pork, Vermicelli and Cabbage
砂锅土豆丝	Claypot Potato Threads
江小白	Jiangxiaobai Liquor
汾酒20年	Fenjiu Liquor 20 Years
汾酒30年	Fenjiu Liquor 30 Years
海之蓝42%	Ocean Blue 42% ABV White Wine
茅台	Moutai Liquor
日本生啤	Japanese Draft Beer
青岛啤酒	Tsingtao Beer
菊花茶	Chrysanthemum Tea
柚子绿茶	Grapefruit Green Tea
冰柠檬茶	Iced Lemon Tea
普洱茶	Pu'er Tea
王老吉	Wong Lo Kat Herbal Tea
冰糖雪梨	Snow Pear with Rock Sugar
酸梅汤	Sour Plum Soup
地三鲜 Di san xian(fried potato,green bell pepper and eggplant)
小鸡炖蘑菇 chicken with honey mushroom
东北乱炖 Northeast China (Dongbei) Vegetable Stew with Pork Ribs
鱼香肉丝 Yuxiang shredded pork
开水白菜 Steamed Chinese Cabbage in Supreme Soup
蒜泥白肉 Sliced Pork with Garlic Sauce
酸菜白肉锅 meat with pickled cabbage hot pot
排骨炖豆角 Pork ribs with Green beans
猪肉炖粉条 Pork with cellophane noodle
拔丝地瓜 Caramelized Sweet Potato
臭豆腐 Stinky Tofu
卤肉饭 Braised Pork on Rice
蚵仔煎 Oyster Omelet
葱油饼 Green Onion Pancake
芒果剉冰 Mango Shaved Ice
猪血糕 Pig’s Blood Cake
西湖醋鱼 West Lake Fish in Vinegar Gravy
红烧狮子头 Braised pork ball in brown sauce
干锅鸡 Sautéed Chicken with Pepper in Iron Wok
宫保鸡丁 Kung Pao chicken
扬州炒饭 Yangzhou fried rice
粟米红萝卜排骨汤  Pork Ribs Soup with Corn and Carrot
咸酥鸡  Taiwanese popcorn chicken
豚骨拉面 Pork rib ramen
剁椒鱼头 Chop bell pepper fish head
宝塔肉 cube-shaped pork
北京烤鸭 Peking duck
东坡肉 Dongpo's braised pork
辣子鸡 Sichuan Spicy Chicken
雪绵豆沙 Deep-Fried Egg Whites with Red Bean Paste
炸牛奶 crispy milk curd
佛跳墙 Buddha Jumps Over the Wall 
担担面 Dandan noodles
胡辣汤 pepper hot soup
酸菜鱼 Boiled Fish with Pickled Cabbage and Chili
煲仔饭 Claypot Rice
三不沾 non-stick egg pudding
东北冷面 North East Chinese Cold Noodles
流水素面 Nagashi Somen
陈村米粉 Chen cun rice noodles
红烧牛肉	Braised Beef
糖醋排骨	Sweet and Sour Spare Ribs
鱼香茄子	Fish-Flavored Eggplant
宫保豆腐	Kung Pao Tofu
葱油鸡	Scallion Oil Chicken
牛肉面	Beef Noodle Soup
辣子鸡丁	Spicy Chicken Cubes
家常豆腐	Home-Style Tofu
素炒西兰花	Stir-Fried Broccoli
蒜蓉菠菜	Garlic Spinach
酸辣汤	Hot and Sour Soup
